,BlackCommon,Date,BlackUncommon,BlackRare,BlueCommon,BlueUncommon,BlueRare,RedCommon,RedUncommon,RedRare,GreenCommon,GreenUncommon,GreenRare,ItemCommon,ItemUncommon,ItemRare
260,130,2018-12-08 05:00:00,278,1867,123,167,5669,125,266,4453,123,177,4167,126,720,1866
241,129,2018-12-08 06:00:00,274,1916,123,154,5691,125,250,4432,123,177,4254,126,705,1881
106,129,2018-12-08 07:00:00,286,1953,123,152,5492,125,248,4346,123,186,4070,126,669,1926
259,129,2018-12-08 08:00:00,256,1883,123,161,5539,125,248,4300,123,174,3859,126,729,1734
53,126,2018-12-08 09:00:00,242,1823,123,140,5276,125,227,4286,123,168,3953,126,669,1680
276,129,2018-12-08 10:00:00,239,1854,123,145,5194,125,244,4439,123,168,3928,126,648,1740
281,127,2018-12-08 11:00:00,259,1817,123,146,5209,126,253,4270,123,174,4073,126,687,1869
378,129,2018-12-08 12:00:00,248,1832,123,146,5347,125,244,4346,123,177,4136,126,684,1806
195,127,2018-12-08 13:00:00,254,1816,123,148,5550,124,243,4228,123,168,3918,126,678,1773
268,127,2018-12-08 14:00:00,235,1726,123,138,5357,124,236,4124,123,162,3889,126,645,1659
161,128,2018-12-08 15:00:00,258,1761,123,145,5413,125,245,4353,123,162,4136,126,681,1656
328,128,2018-12-08 16:00:00,257,1734,123,145,5310,125,246,4253,123,168,3868,126,690,1770
432,129,2018-12-08 17:00:00,255,1777,123,144,5250,124,237,4278,123,171,3907,126,666,1671
163,128,2018-12-08 18:00:00,257,1900,123,142,5459,125,245,4431,123,171,3987,126,657,1734
249,129,2018-12-08 19:00:00,248,1790,123,148,5412,125,248,4510,123,177,4187,126,672,1737
428,129,2018-12-08 20:00:00,251,1839,123,147,5506,133,238,4540,123,171,4220,126,645,1761
208,129,2018-12-08 21:00:00,234,1821,123,147,5542,124,237,4239,123,171,4188,126,642,1653
94,126,2018-12-08 22:00:00,260,1878,124,163,5474,125,255,4324,123,181,4215,126,663,1710
272,127,2018-12-08 23:00:00,252,1749,123,163,5674,126,248,4497,126,174,4033,126,660,1629
111,130,2018-12-09 00:00:00,293,1956,123,166,5552,124,274,4656,130,182,4256,126,708,1770
258,130,2018-12-09 01:00:00,284,2025,125,148,5802,126,271,4684,123,179,4342,126,720,1851
305,130,2018-12-09 02:00:00,255,2000,124,150,5465,126,239,4280,123,178,4115,126,681,1614
203,126,2018-12-09 03:00:00,239,1984,123,143,5192,124,256,4317,123,171,3949,126,657,1554
45,127,2018-12-09 04:00:00,247,1990,125,144,5756,125,254,4300,123,172,4210,126,642,1809
361,126,2018-12-09 05:00:00,260,1796,124,151,5793,124,254,4507,123,168,4278,126,684,1518
440,128,2018-12-09 06:00:00,227,1819,123,135,5175,124,230,4116,123,165,3929,126,585,1500
148,126,2018-12-09 07:00:00,244,1829,123,144,5553,124,230,4017,123,160,3787,126,609,1623
388,126,2018-12-09 08:00:00,233,1722,123,138,5270,124,249,4135,123,165,3935,126,648,1524
23,127,2018-12-09 09:00:00,254,1905,123,145,5059,124,240,4100,126,172,3960,126,657,1644
177,126,2018-12-09 10:00:00,233,1661,130,140,4943,124,226,3961,123,168,3765,126,624,1485
236,126,2018-12-09 11:00:00,229,1798,123,144,4951,123,233,3900,123,165,3645,126,624,1608
107,126,2018-12-09 12:00:00,221,1693,123,139,4892,124,222,3746,123,165,3625,126,591,1536
270,125,2018-12-09 13:00:00,237,1727,123,141,4790,124,225,3743,123,162,3816,126,600,1620
159,125,2018-12-09 14:00:00,236,1754,124,153,4884,124,231,3938,123,171,3969,126,627,1620
84,125,2018-12-09 15:00:00,221,1642,124,145,4782,124,227,3803,123,162,3907,126,609,1455
201,125,2018-12-09 16:00:00,242,1753,124,142,4932,124,233,3892,123,159,3826,126,594,1545
379,124,2018-12-09 17:00:00,232,1708,123,142,4978,124,236,3948,124,165,3763,126,606,1575
56,125,2018-12-09 18:00:00,235,1777,124,140,5042,124,224,3994,123,165,3934,126,582,1560
419,125,2018-12-09 19:00:00,239,1757,124,144,5105,124,229,3942,123,159,3772,126,609,1641
235,126,2018-12-09 20:00:00,227,1660,123,147,4850,123,218,3753,124,156,3740,126,570,1599
338,127,2018-12-09 21:00:00,234,1656,124,141,4959,123,215,3703,123,165,3910,126,576,1584
216,127,2018-12-09 22:00:00,232,1671,123,142,5047,124,230,3719,126,159,3835,126,555,1542
